Name,Description,Type,Oxygen production kg/year for 1m2 leaves surface,Plant Type,Water requirement liters/day,Sunlight requirement,realHeight
Hiacynt,"Pachnący kwiat cebulkowy o intensywnych kolorach, zakwita wiosną.",kwiat,0.9 kg,Dekoracyjna,0.3,Może być na słońcu lub w cieniu,0.25
Tulipan,"Popularny wiosenny kwiat o szerokiej gamie kolorów, znany z cebulek i różnorodnych odmian.",kwiat,1.0 kg,Dekoracyjna,0.4,Może być na słońcu lub w cieniu,0.4
Bratek,"Kwiat o jaskrawych, kontrastujących kolorach, często uprawiany w doniczkach i ogrodach.",kwiat,0.6 kg,Dekoracyjna,0.2,Może być na słońcu lub w cieniu,0.15
Stokrotka,"Delikatny kwiat o białych płatkach i żółtym środku, często występuje w trawnikach.",kwiat,0.5 kg,Dekoracyjna,0.2,Może być na słońcu lub w cieniu,0.12
Konwalia,"Niski kwiat o małych, białych, dzwonkowatych kwiatach i intensywnym zapachu.",kwiat,0.9 kg,Dekoracyjna,0.2,Musi być w cieniu,0.2
Irys,Wysoki kwiat o charakterystycznych płatkach i szerokiej gamie kolorów.,kwiat,1.3 kg,Dekoracyjna,0.5,Musi być na słońcu,0.7
Piwonia,"Duży, pachnący kwiat o bujnych płatkach, dostępny w różnych odcieniach różu i bieli.",kwiat,1.2 kg,Dekoracyjna,0.7,Musi być na słońcu,0.8
Niezapominajka,"Delikatny, niebieski kwiat symbolizujący pamięć i lojalność.",kwiat,0.7 kg,Dekoracyjna,0.3,Musi być na słońcu,0.25
Lilia,"Elegancki kwiat o dużych, dzwonkowatych kwiatach i intensywnym zapachu, dostępny w wielu odmianach.",kwiat,1.4 kg,Dekoracyjna,0.5,Może być na słońcu lub w cieniu,0.9
Surfinia,"Zwisający kwiat o długich, kaskadowych kwiatach, często uprawiany w doniczkach i balkonach.",kwiat,0.8 kg,Dekoracyjna,0.8,Musi być na słońcu,0.2
Pelargonia,"Popularny kwiat ogrodowy, łatwy w uprawie, dostępny w wielu kolorach i odmianach.",kwiat,1.1 kg,Dekoracyjna,0.7,Musi być na słońcu,0.4
Cyklamen,"Kwiat doniczkowy o charakterystycznych, kontrastowych kwiatach.",kwiat,0.9 kg,Dekoracyjna,0.4,Musi być w cieniu,0.25
Geranium,"Roślina doniczkowa o intensywnie pachnących liściach, stosowana w kosmetyce.",kwiat,1.1 kg,Dekoracyjna,0.5,Może być na słońcu lub w cieniu,0.4
Hibiskus,"Roślina o dużych, barwnych kwiatach, popularna w ogrodach tropikalnych.",kwiat,1.3 kg,Dekoracyjna,0.7,Musi być na słońcu,2
Kocanka,"Roślina ozdobna o jaskrawożółtych kwiatach, często używana do suchych bukietów.",kwiat,0.9 kg,Zioło,0.3,Musi być na słońcu,0.5
Krokus jesienny,"Jesienna wersja krokusa, o fioletowych kwiatach, popularny w ogrodach.",kwiat,0.8 kg,Dekoracyjna,0.3,Może być na słońcu lub w cieniu,0.12
Orlik,"Roślina łąkowa o charakterystycznych, wiszących kwiatach w różnych kolorach.",kwiat,1.0 kg,Dekoracyjna,0.5,Musi być na słońcu,0.7
Petunia,"Roślina kwiatowa o jaskrawych kolorach, popularna w doniczkach i na balkonach.",kwiat,1.1 kg,Dekoracyjna,0.6,Musi być na słońcu,0.25
Słonecznik,"Roślina jednoroczna o dużych, żółtych kwiatach i jadalnych nasionach.",kwiat,1.2 kg,Hodowlana,0.9,Musi być na słońcu,2
Tuja,"Zimozielony krzew o kolumnowym pokroju, często używany na żywopłoty i granice.",krzew,1.0 kg,Dekoracyjna,0.5,Może być na słońcu lub w cieniu,7
Bukszpan,"Niskie, gęste krzewy o drobnych, zimozielonych liściach, popularne na żywopłoty.",krzew,1.2 kg,Dekoracyjna,0.5,Może być na słońcu lub w cieniu,1
Berberys,"Krzew o kolorowych liściach, często czerwonych lub bordowych, kwitnie wiosną.",krzew,1.3 kg,Dekoracyjna,0.7,Musi być na słońcu,1.5
Ostrokrzew,"Krzew o zimozielonych, błyszczących liściach z ostrymi zakończeniami, owoce to czerwone jagody.",krzew,1.1 kg,Dekoracyjna,0.6,Może być na słońcu lub w cieniu,6
Ligustr,"Szybko rosnący krzew, który dobrze nadaje się na żywopłoty, ma drobne, ciemnozielone liście.",krzew,1.5 kg,Dekoracyjna,0.6,Może być na słońcu lub w cieniu,2
Forsycja,"Krzew o jasnożółtych kwiatach kwitnących na wiosnę, popularny w ogrodach.",krzew,1.4 kg,Dekoracyjna,0.7,Musi być na słońcu,2
Hortensja,"Kwiatowy krzew o dużych kulistych kwiatach w różnych kolorach, kwitnie od wiosny do późnego lata.",krzew,1.8 kg,Dekoracyjna,1.0,Musi być w cieniu,1.5
Fuksja,"Krzew o wyjątkowych kwiatach w intensywnych kolorach, idealny do doniczek i wiszących koszy.",krzew,1.6 kg,Dekoracyjna,0.8,Musi być w cieniu,1
Azalia,"Krzew kwitnący wiosną o pięknych, dużych kwiatach w różnych kolorach, preferuje miejsca zacienione.",krzew,1.7 kg,Dekoracyjna,0.7,Musi być w cieniu,1.2
Bawełna,"Roślina o włóknistych owocach, używana do produkcji tekstyliów.",krzew,0.8 kg,Hodowlana,0.6,Musi być na słońcu,1.2
Borówka,"Krzew owocowy, dostarcza bogatych w witaminy jagód.",krzew,1.4 kg,Hodowlana,0.8,Może być na słońcu lub w cieniu,1.5
Jaśmin,"Roślina pnąca o delikatnych, pachnących kwiatach, stosowana w herbatkach i perfumach.",krzew,1.2 kg,Dekoracyjna,0.6,Musi być na słońcu,2
Jeżyna,"Krzew owocowy o drobnych, czarnych owocach, lubiany w kuchni i deserach.",krzew,1.4 kg,Hodowlana,0.6,Może być na słońcu lub w cieniu,1.5
Kalina,"Krzew ozdobny o białych kwiatach i czerwonych owocach, atrakcyjny w ogrodach.",krzew,1.3 kg,Dekoracyjna,0.5,Może być na słońcu lub w cieniu,3
Malina,"Krzew owocowy, daje soczyste, czerwone owoce.",krzew,1.5 kg,Hodowlana,0.8,Może być na słońcu lub w cieniu,1.5
Nefrolepis,"Paproć o pierzastych liściach, popularna jako roślina doniczkowa.",krzew,1.3 kg,Dekoracyjna,0.4,Musi być w cieniu,0.7
Pęcherznica,"Krzew ozdobny o purpurowych liściach i białych kwiatach, atrakcyjny w ogrodach.",krzew,1.2 kg,Dekoracyjna,0.5,Może być na słońcu lub w cieniu,2
Róża,"Krzew ozdobny o pachnących kwiatach w różnych kolorach, popularny w ogrodach i florystyce.",krzew,1.5 kg,Dekoracyjna,0.6,Musi być na słońcu,1.5
Winorośl,"Roślina pnąca, dostarcza jadalnych winogron, stosowanych do produkcji wina.",krzew,1.4 kg,Hodowlana,0.8,Musi być na słońcu,5
Bazyliowiec,"Drzewo o aromatycznych liściach, stosowane w kuchni indyjskiej i medycynie.",drzewo,1.5 kg,Zioło,0.3,Musi być na słońcu,0.5
Buk,"Duże, długowieczne drzewo liściaste, rosnące w chłodnym klimacie.",drzewo,4.0 kg,Dekoracyjna,0.7,Może być na słońcu lub w cieniu,20
Cyprysik,"Zimozielone drzewo o smukłym pokroju, idealne na żywopłoty.",drzewo,3.2 kg,Dekoracyjna,0.6,Może być na słońcu lub w cieniu,12
Dąb,"Długowieczne drzewo liściaste o dużej koronie, produkuje żołędzie.",drzewo,5.0 kg,Dekoracyjna,1.0,Musi być na słońcu,20
Eukaliptus,"Drzewo o intensywnym zapachu liści, stosowane w aromaterapii.",drzewo,3.0 kg,Dekoracyjna,0.8,Musi być na słońcu,30
Figa,"Drzewo owocowe o dużych, zielonych liściach i słodkich owocach.",drzewo,2.5 kg,Hodowlana,0.8,Musi być na słońcu,6
Karob,"Drzewo owocowe o słodkich strąkach, często stosowanych jako zamiennik czekolady.",drzewo,1.6 kg,Hodowlana,0.5,Musi być na słońcu,10
Kasztanowiec,"Drzewo o dużych, rozłożystych liściach i charakterystycznych owocach - kasztanach.",drzewo,4.2 kg,Dekoracyjna,1-Feb,Musi być na słońcu,15
Lipa,"Drzewo o szerokiej koronie i charakterystycznych, pachnących kwiatach, stosowane w herbatkach.",drzewo,3.5 kg,Dekoracyjna,0.8,Może być na słońcu lub w cieniu,20
Magnolia,"Drzewo lub krzew o dużych, pachnących kwiatach, często sadzone w ogrodach ozdobnych.",drzewo,2.7 kg,Dekoracyjna,0.6,Musi być na słońcu,5
Mandarynka,"Drzewo owocowe, dostarcza słodkich, pomarańczowych owoców.",drzewo,2.1 kg,Hodowlana,1.0,Musi być na słońcu,3.0
Miłorząb,"Drzewo o wachlarzowatych liściach, znane z długowieczności i właściwości zdrowotnych.",drzewo,3.8 kg,Dekoracyjna,0.5,Musi być na słońcu,18
Morwa,"Drzewo owocowe o słodkich owocach, popularne w kuchni i medycynie.",drzewo,2.3 kg,Hodowlana,0.7,Może być na słońcu lub w cieniu,10
Oliwka,"Drzewo o wąskich, srebrzystych liściach, produkuje oliwki, popularne w kuchni.",drzewo,2.4 kg,Hodowlana,0.6,Musi być na słońcu,5
Palma,"Drzewo ozdobne o tropikalnym wyglądzie, często uprawiane w doniczkach w klimatach umiarkowanych.",drzewo,2.0 kg,Dekoracyjna,0.5,Może być na słońcu lub w cieniu,12
Papaja,"Drzewo owocowe o dużych, jadalnych owocach, popularne w kuchni tropikalnej.",drzewo,2.2 kg,Hodowlana,1.0,Musi być na słońcu,6
Pigwa,"Drzewo owocowe o aromatycznych, żółtych owocach, używane do dżemów i przetworów.",drzewo,2.5 kg,Hodowlana,0.7,Musi być na słońcu,5
Platan,"Duże, rozłożyste drzewo o szerokich liściach, popularne w parkach miejskich.",drzewo,4.5 kg,Dekoracyjna,0.9,Musi być na słońcu,25
Pomarańcza,"Drzewo owocowe, dostarcza soczystych, pomarańczowych owoców.",drzewo,2.3 kg,Hodowlana,1.0,Musi być na słońcu,6
Sosna,"Drzewo iglaste, popularne w lasach i ogrodach, stosowane w przemyśle drzewnym.",drzewo,3.8 kg,Dekoracyjna,1.0,Musi być na słońcu,20
Śliwa,"Drzewo owocowe, dostarcza słodkich owoców o fioletowej skórce.",drzewo,2.6 kg,Hodowlana,0.8,Musi być na słońcu,6
Wierzba,"Drzewo o zwisających gałęziach, często sadzone w pobliżu wód.",drzewo,3.0 kg,Dekoracyjna,1.0,Może być na słońcu lub w cieniu,15
Żywotnik,"Zimozielone drzewo iglaste, często stosowane na żywopłoty.",drzewo,2.9 kg,Dekoracyjna,0.5,Może być na słońcu lub w cieniu,12
